"Region","District","Period","start","end"
"Amhara","Libo Kemkem","Bilb Wuha","flowering","2019-10-05","2020-09-27"
"Amhara","Libo Kemkem","Bilb Wuha","tasseling/seed filling","2019-09-27","2019-11-10"
"Amhara","Libo Kemkem","Bilb Wuha","harvesting","2019-11-11","2019-12-10"
"Tigray","RayaAzebo","HadeAlga","land preparation","2019-04-09","2019-07-07"
"Tigray","RayaAzebo","HadeAlga","planting","2019-07-13","2019-08-16"
"Tigray","RayaAzebo","HadeAlga","flowering","2019-10-21","2020-09-21"
"Tigray","RayaAzebo","HadeAlga","tasseling/seed filling","2019-08-26","2019-09-27"
"Tigray","RayaAzebo","HadeAlga","harvesting","2019-10-10","2019-11-20"
"Tigray","RayaAzebo","HadeAlga","land preparation","2019-01-19","2019-04-20"
"Tigray","RayaAzebo","HadeAlga","planting","2019-04-28","2019-05-28"
"Tigray","RayaAzebo","HadeAlga","flowering","2019-08-16","2019-09-21"
"Tigray","RayaAzebo","HadeAlga","tasseling/seed filling","2019-08-22","2019-09-27"
"Tigray","RayaAzebo","HadeAlga","harvesting","2019-10-30","2019-12-15"
"Amhara","LiboKemikem","Berkutae","land preparation","2019-03-10","2019-07-07"
"Amhara","LiboKemikem","Berkutae","planting","2019-07-08","2019-08-06"
"Amhara","LiboKemikem","Berkutae","flowering","2019-09-16","2019-09-27"
"Amhara","LiboKemikem","Berkutae","tasseling/seed filling","2019-09-27","2019-10-16"
"Amhara","LiboKemikem","Berkutae","harvesting","2019-11-10","2019-12-10"
"Amhara","LiboKemikem","Berkutae","land preparation","2019-03-10","2019-05-09"
"Amhara","LiboKemikem","Berkutae","planting","2019-05-09","2019-06-08"
"Amhara","LiboKemikem","Berkutae","flowering","2019-08-07","2019-09-21"
"Amhara","LiboKemikem","Berkutae","tasseling/seed filling","2019-08-21","2019-09-26"
"Amhara","LiboKemikem","Berkutae","harvesting","2019-10-12","2019-10-26"
"Amhara","LiboKemikem","Tara gedam","land preparation","2019-03-10","2019-07-07"
"Amhara","LiboKemikem","Tara gedam","planting","2019-07-08","2019-07-27"
"Amhara","LiboKemikem","Tara gedam","flowering","2019-09-12","2019-10-11"
"Amhara","LiboKemikem","Tara gedam","tasseling/seed filling","2019-10-16","2019-11-25"
"Amhara","LiboKemikem","Tara gedam","harvesting","2019-11-25","2019-12-10"
"Amhara","LiboKemikem","Tara gedam","land preparation","2019-03-10","2019-05-08"
"Amhara","LiboKemikem","Tara gedam","planting","2019-05-09","2019-05-28"
"Amhara","LiboKemikem","Tara gedam","flowering","2019-08-15","2019-09-05"
