"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"28-Apr",1.59792941176471,0,1.59792941176471,0,0,0,1.59792941176471,0,0,0,0,0,0,22.51608,0,0,0,0,0,0,0,0,0,0,7.781339,0,9.798641,0,0,0,0,14.23354,0,0,0,0,0,1.59792941176471
"29-Apr",0.344079914285714,0,0.344079914285714,0,0,0,0,0,0,0,0,0,0,0,0,4.184322,0,0,0,0,0,0,0,0,1.642905,6.21557,0,0,0,0,0,0,0,0,0,0,0,0.344079914285714
"30-Apr",1.50316202777778,0,13.39581,0,0,0,0,0,0,0,2.12537,4.081066,0,0,5.506583,0,1.822404,0,0,0,0,0,0,0,0,12.66429,0,14.51831,0,0,0,0,0,0,0,0,0,1.50316202777778
"1-May",0,0,0,0.972609569444444,0,0,0,0,3.409728,0,0,1.182245,0,0,0,0,0.4994585,0,0,0,0,0,0,0,0,13.47334,0,8.847266,0,0,0,7.601907,0,0,0,0,0,0.972609569444444
"2-May",0,0,0,0,0,0,0,0,0,0,0,9.151085,10.27388,0,0,0,0,0,0,5.5459,0,0,0,4.81921,0,0,0,4.368367,0,0,0,0,0,0,0,0,0,0.923201135135135
"3-May",0,0,10.87992,0,0,0,0,0,0,0,0,0,0,6.390027,0,0.3808706,0,0,0,0,0,0,8.02239,0,0,3.160786,0,29.13757,0,0,0,0,13.48529,0,0,0,0,1.93126631351351
"4-May",0,0,0.781741333333333,0,0,0,0,0,4.858903,0,0,0,5.784045,0,0,0,0,0,0,0,0,0,8.900824,0,0,0,0,8.598916,0,0,0,0,0,0,0,0,0,0.781741333333333
"5-May",0,0,3.01581082857143,0,0,0,0,0,3.079737,0,0,3.281864,12.74804,0,3.01581082857143,1.007094,2.808136,0,0,0,0,0,0,0,2.052253,16.38436,0,22.38618,0,0,0,0,6.033048,5.292287,30.48038,0,0,3.01581082857143
"6-May",13.89428,0,2.00736105555556,0,0,0,0,0,6.585788,1.407279,0,4.291751,3.460504,2.624125,6.106129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.32857,0,9.658572,11.908,2.00736105555556
"7-May",0,0,1.819693,0,0,0,0,0,12.54832,0,0,8.941474,7.09946,0,5.703198,0,0,0,0,0,0,0,0,4.319891,0,0,0,0,0,5.126974,0,8.994023,8.882797,0,0,0,0,1.71448189189189
"8-May",0,0,0,0,5.470761,0,0,0,0,2.836406,2.304495,0.9073603,0.5863392,4.943941,1.08454,0,6.331304,9.244852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.441509,11.81165,1.26927452702703
"9-May",0,0,0,0,5.134165,1.716987,0,0,24.81031,10.01292,0,0.9450434,0.8216857,0,0,0,0,8.39216,0,0,0,0,0,0,0,0,0,0,0,0,0,4.801858,0,36.57518,0,4.816051,0,2.64936108378378
"10-May",3.652477,0,0,0,0,0,0,0,0,0,0,0,4.450552,6.40203,2.875579,0,0,0,0,0,0,0,0,3.891718,0,0,0,0,10.64772,0,0,17.35917,5.048913,0,0,9.060326,0,1.7132022972973
"11-May",8.338264,0,0,2.00798397222222,0,0,0,0,4.833682,0,0,8.25544,0,12.86968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.359697,10.19027,0,23.44039,0,0,0,0,0,2.00798397222222
"12-May",12.44973,0,6.95314,0,0,0,21.83969,0,9.89138,0,0,0,0,0,7.930331,17.12764,0,0,4.793118,0,0,0,0,0,0,7.443401,0,0.7954878,0,16.12916,11.59786,10.11175,10.41693,0,0,0,0,3.71566534594595
"13-May",5.885057,0,8.284426,0,15.01043,0,5.980367,0,0,0,0,0,0,0,12.9967,16.86846,0,0,0,0,0,0,0,8.003086,0,3.938954,0,0,0,0,18.34068,20.33285,0,0,17.46909,0,0,3.59757027027027
"14-May",0,0,6.487048,0,0,0,8.300953,0,0,0,0,0,0,0,12.65374,10.18405,0.3950199,0,0,0,0,0,0,2.657479,0,12.52662,0,0,0,0,13.95062,7.393369,0,24.83955,29.7932,0,0,3.49139591621622
