"","Lat","Lon","Region","EarlyAdjRain","LateAdjRain","EarlyRank","LateRank","EarlyPay","LatePay","SumPay"
"Sinkata","14.01175","39.59356667","SaesiTsaedaemba","0","31","0.32","0.19","100","21","121"
"Siye","13.42072","38.83012","TanquaAbergele","54","75","0.86","1","0","0","0"
"Smret","13.6408","38.85106","KolaTembien","75","75","1","1","0","0","0"
"Sorya","12.34583","39.32907","Alamata","0","66","0.51","0.68","100","0","100"
"Suha","10.34635","38.26694","Shebel Berenta","64","75","0.92","1","0","0","0"
"Tahtayhaya","12.70454167","39.56391667","Endamekoni","5","43","0.78","0.3","0","0","0"
"TahtayDaeroka","14.21841667","39.11961667","Ahferom","30","49","0.92","0.05","0","27","27"
"TahtayLegomti","14.0784","38.9704","Adwa","60","58","0.97","0.14","0","42","42"
"TahtayMegariaTsebri","14.30111667","39.07828333","Ahferom","20","32","0.65","0.03","0","77","77"
"Tao","12.5179","39.64047","Alamata","8","50","0.78","0.62","0","0","0"
"TaraGedam","12.1516","37.73193","Libo Kemkem","70","75","0.76","1","0","0","0"
"TaraSenba","12.22824","38.00931","Ibinat","75","63","1","0.14","0","23","23"
"Tekea","12.9176","39.47559","Emba-Alaje","4","27","0.62","0.14","100","24","124"
"Tekleweyni","13.37087","38.84672","TanquaAbergele","54","75","0.86","1","0","0","0"
"Tetatiro","10.20659","38.39577","Shebel Berenta","64","75","0.84","1","0","0","0"
"Tibaga","12.05085","37.67116","Libo Kemkem","75","75","1","1","0","0","0"
"Tigage","12.34042","38.41673","Ibinat","40","74","0.95","0.62","0","0","0"
"Tsae","13.90719","39.12939","Werieleke","65","61","1","0.22","0","3","3"
"Tsetsera","12.37728","39.4313","Alamata","4","69","0.7","0.86","100","0","100"
"Tseykeme","13.45089","38.90783","TanquaAbergele","55","75","0.86","1","0","0","0"
"Tsigea","12.79798333","39.65126667","RayaAzebo","4","39","0.73","0.41","100","0","100"
"Ulaga","12.44273333","39.80076667","RayaAzebo","12","61","0.86","0.89","0","0","0"
"Wargba","12.75934167","39.68234333","Raya Azebo","4","39","0.73","0.41","100","0","100"
"Wariba","11.98646","38.10837","Ibinat","74","70","1","0.3","0","0","0"
"Wedikeshi","14.2475","38.878","Adwa","63","65","0.95","0.19","0","9","9"
"Werabaye","12.67054333","39.62322833","Raya Azebo","5","43","0.78","0.3","0","0","0"
"Werkamba","13.7764","38.98961667","KolaTembien","73","75","1","1","0","0","0"
"Wobo","10.22238","38.39478","Shebel Berenta","64","75","0.84","1","0","0","0"
"Wonberoch","12.17849","38.01144","Ibinat","75","63","1","0.14","0","23","23"
"Wondye","11.05132","38.27698","Goncha Siso Enesie","44","75","0.81","1","0","0","0"
"Worego","10.41089","38.36928","Shebel Berenta","55","75","0.81","1","0","0","0"
"WorgajaWagi","12.28664","38.01687","Ibinat","65","72","0.97","0.27","0","0","0"
"WoryaMeskel","10.74562","38.46225","Enesie Sar Midir","45","75","0.89","1","0","0","0"
"Woyenti","14.205338","39.038132","Adwa","53","50","0.95","0.08","0","48","48"
"Woynye","10.42627","38.40502","Shebel Berenta","55","75","0.81","1","0","0","0"
"WuhdetG","14.31872","39.2653","Ganta-afeshum","12","27","0.65","0.05","0","52","52"
"WuhdetK","13.8285","39.10903","KolaTembien","65","66","1","0.41","0","0","0"
"WushaTires","12.10734","37.67963","Libo Kemkem","75","75","1","1","0","0","0"
"Yedwuha","10.45178","38.331","Shebel Berenta","48","75","0.62","1","0","0","0"
"Yeju","10.19588","38.30642","Shebel Berenta","66","75","0.86","1","0","0","0"
"Yetefet","10.97067","38.3235","Enesie Sar Midir","47","75","0.81","1","0","0","0"
"YifagAkababi","12.06969","37.71093","Libo Kemkem","75","75","1","1","0","0","0"
"Yitihana","10.33567","38.42984","Shebel Berenta","61","75","0.84","1","0","0","0"
"Zata","12.50773","39.29298833","Ofla","1","64","0.57","0.65","100","0","100"
"Ziha","12.07409","37.98849","Ibinat","75","72","1","0.22","0","10","10"
"ZihonHuha","10.8758","38.41444","Enesie Sar Midir","57","75","0.95","1","0","0","0"
"ZobarYikuanda","10.68773","38.4701","Enesie Sar Midir","45","75","0.89","1","0","0","0"
"Zongi","14","39","WiereLahe","49","70","0.84","0.32","0","0","0"
