"","Name","Region","Timing","1983-1976","1984-1977","1985-1978","1986-1979","1987-1980","1988-1981","1989-1982","1990-1983","1991-1984","1992-1985","1993-1986","1994-1987","1995-1988","1996-1989","1997-1990","1998-1991","1999-1992","2000-1993","2001-1994","2002-1995","2003-1996","2004-1997","2005-1998","2006-1999","2007-2000","2008-2001","2009-2002","2010-2003","2011-2004","2012-2005","2013-2006","2014-2007","2015-2008","2016-2009","2017-2010","2018-2011","2019-2012"
"84","Endabano","KolaTembien","Early","31","2","16","33","54","34","36","25","45","0","35","47","8","63","25","50","28","28","7","10","17","25","25","31","11","24","36","52","45","30","17","12","9","47","34","50","73"
"85","Endachiwa","WiereLahe","Early","31","7","6","25","51","10","8","0","6","0","36","50","17","41","60","44","13","27","0","10","30","22","14","25","32","8","30","45","35","25","25","7","0","27","39","55","60"
"86","EndaFelasi","Werieleke","Early","30","3","16","25","55","19","33","20","44","0","35","48","6","62","35","50","29","30","7","3","18","25","25","31","41","27","38","41","48","30","21","7","9","49","35","46","64"
"87","Endagahamus","WiereLahe","Early","30","6","6","25","52","10","11","11","6","0","35","50","6","40","41","44","12","27","0","4","31","20","17","18","34","8","6","32","41","30","25","25","8","39","38","36","49"
"88","Endamariam","Ahferom","Early","27","8","0","39","31","4","2","0","0","8","30","25","0","35","45","21","2","27","9","5","15","8","12","29","8","0","7","19","25","30","4","0","0","13","0","5","12"
"89","Erba","Raya Azebo","Early","12","0","0","25","1","0","1","0","0","0","0","0","3","15","36","0","0","2","13","8","0","5","0","0","0","12","0","1","15","0","0","0","0","9","4","10","10"
"90","Esiret","Samre","Early","30","21","6","50","43","26","35","10","42","8","34","35","9","68","39","27","25","27","29","5","31","9","30","32","7","23","16","55","27","13","9","3","15","44","21","38","55"
"91","Estifanos","Libo Kemkem","Early","18","50","31","39","75","62","60","50","31","35","47","67","38","69","74","52","25","39","65","43","35","21","40","67","52","71","56","35","75","50","25","25","50","47","30","75","75"
"92","Fala","Ofla","Early","19","0","0","25","2","0","1","0","8","0","0","0","3","25","37","0","19","2","13","0","0","6","0","0","8","7","0","0","0","0","0","0","0","0","0","19","4"
"93","Felegehiwot","Enesie Sar Midir","Early","8","67","26","38","11","21","2","11","30","9","26","24","31","47","52","45","37","25","18","37","31","21","20","0","20","43","37","33","36","9","9","31","33","70","1","60","60"
